Polarity,Subjectivity,Count
-0.4,0.6,1
0.0,0.0,2
0.18,0.42000000000000004,3
0.0,0.0,4
0.16666666666666666,0.5666666666666668,5
0.5,0.8888888888888888,6
0.0,0.0,7
0.3,0.2,8
0.0,0.0,9
-0.5,0.95,10
-0.2,0.6,11
-0.5166666666666667,0.8833333333333333,12
1.0,0.3,13
-0.1,0.4,14
0.0,0.0,15
-0.3,0.5888888888888889,16
0.0,0.0,17
0.05,0.95,18
0.2,0.4,19
0.25000000000000006,0.65,20
0.3,0.2,21
0.0,0.0,22
-0.5,0.95,23
-0.2,0.6,24
-0.5166666666666667,0.8833333333333333,25
1.0,0.3,26
-0.1,0.4,27
0.0,0.0,28
-0.3,0.5888888888888889,29
0.0,0.0,30
0.05,0.95,31
0.2,0.4,32
0.25000000000000006,0.65,33
0.4791666666666667,0.43333333333333335,34
0.7,0.6000000000000001,35
0.08333333333333333,0.25833333333333336,36
1.0,0.3,37
0.0,0.05,38
0.0,0.06666666666666667,39
-0.2,0.6,40
0.0,0.5,41
0.0,0.0,42
0.0,0.0,43
0.0,0.0,44
-0.3125,0.5,45
-0.2,0.6,46
-0.25,0.5,47
0.0,0.0,48
0.0,0.0,49
-0.4,0.6,50
0.5,0.4,51
0.0,0.05,52
0.0,0.06666666666666667,53
-0.2,0.6,54
0.0,0.5,55
0.0,0.0,56
0.0,0.0,57
0.0,0.0,58
-0.3125,0.5,59
-0.2,0.6,60
-0.25,0.5,61
0.0,0.0,62
0.0,0.0,63
-0.4,0.6,64
0.5,0.4,65
0.0,0.0,66
0.0,0.0,67
0.0,0.0,68
0.0,0.0,69
0.0,0.0,70
0.7,0.6000000000000001,71
0.0,0.0,72
0.0,0.0,73
0.0,0.4,74
0.0,0.0,75
0.5,1.0,76
0.3666666666666667,0.75,77
0.0,0.0,78
0.0,0.0,79
0.0,0.4,80
0.0,0.0,81
0.5,1.0,82
0.3666666666666667,0.75,83
0.0,0.0,84
0.8,0.75,85
0.25,0.5,86
0.2,0.9,87
0.08333333333333333,0.41666666666666663,88
-0.3499999999999999,0.6333333333333333,89
0.26785714285714285,0.6428571428571429,90
0.0,0.0,91
0.375,0.2,92
-0.75,0.95,93
-0.45572916666666674,0.5416666666666666,94
0.0,0.0,95
0.0,0.75,96
0.7,0.6000000000000001,97
0.0,0.0,98
0.0,0.0,99
-0.14999999999999994,0.6666666666666666,100
0.2,0.30000000000000004,101
-1.0,1.0,102
0.0,0.0,103
0.0,0.0,104
0.0,0.0,105
0.8,1.0,106
0.0,0.0,107
-0.14999999999999994,0.6666666666666666,108
0.2,0.30000000000000004,109
-1.0,1.0,110
0.0,0.0,111
0.0,0.0,112
0.0,0.0,113
0.8,1.0,114
0.09999999999999998,0.6,115
-0.3,0.6,116
0.0,0.0,117
0.8,1.0,118
0.5,0.5,119
-0.6,0.8,120
0.0,0.0,121
0.0,1.0,122
0.43333333333333335,0.8333333333333334,123
0.0,0.0,124
-0.75,1.0,125
1.0,1.0,126
0.0,0.125,127
0.037037037037037035,0.6111111111111112,128
0.0,0.0,129
0.4125,0.7625,130
0.0,0.0,131
0.0,0.0,132
-0.75,1.0,133
1.0,1.0,134
0.0,0.125,135
0.037037037037037035,0.6111111111111112,136
0.0,0.0,137
0.4125,0.7625,138
0.0,0.0,139
0.0,0.0,140
0.0,0.125,141
0.0,0.0,142
0.0,0.0,143
0.3666666666666667,0.8333333333333334,144
0.15,0.55,145
-0.25,0.5,146
0.0,0.0,147
0.20833333333333334,0.5333333333333333,148
-0.2916666666666667,0.5416666666666666,149
1.0,0.3,150
0.0,0.0,151
0.0,0.0,152
0.0,0.0,153
-0.3499999999999999,0.36666666666666664,154
0.024999999999999994,0.375,155
-0.016666666666666663,0.7333333333333334,156
0.0,0.0,157
0.0,0.0,158
-0.3499999999999999,0.36666666666666664,159
0.024999999999999994,0.375,160
-0.016666666666666663,0.7333333333333334,161
-1.0,1.0,162
0.0,0.0,163
-0.5,1.0,164
0.0,0.125,165
-0.6666666666666666,1.0,166
0.0,0.0,167
0.0,0.0,168
0.02500000000000005,0.44166666666666665,169
0.39999999999999997,0.44166666666666665,170
0.0,0.0,171
0.5,0.5,172
0.0,0.0,173
0.0,0.0,174
0.0,0.0,175
0.0,0.0,176
-0.3125,0.5125,177
0.0,0.0,178
-0.5,1.0,179
-0.3125,0.5125,180
0.0,0.0,181
-0.5,1.0,182
0.0,0.0,183
0.3,0.1,184
0.0,0.0,185
0.5,0.6499999999999999,186
0.5,1.0,187
0.25,0.3333333333333333,188
0.5,0.95,189
0.2333333333333333,0.5666666666666668,190
-0.2,0.3,191
0.0,0.0,192
0.5,0.5,193
0.37812500000000004,0.95,194
-0.6999999999999998,0.6666666666666666,195
-0.1,0.0,196
0.0,0.0,197
0.0,0.0,198
0.8,0.75,199
1.0,1.0,200
-0.09999999999999992,0.5833333333333333,201
1.0,1.0,202
-0.09999999999999992,0.5833333333333333,203
-0.04999999999999993,0.7833333333333333,204
0.30000000000000004,0.7000000000000001,205
0.603125,0.6,206
0.3125,0.9,207
0.0,0.125,208
0.0,0.0,209
-0.8,0.9,210
0.0,0.0,211
-0.2916666666666667,0.5416666666666666,212
-0.13333333333333333,0.5333333333333333,213
0.0,0.0,214
-0.10416666666666667,0.5625,215
-0.10416666666666667,0.5625,216
0.0,0.0,217
0.0,0.0,218
0.0,0.0,219
-0.15,0.7,220
0.0,0.0,221
0.35,0.9,222
-0.6999999999999998,0.6666666666666666,223
0.6,1.0,224
0.35,0.9,225
-0.6999999999999998,0.6666666666666666,226
0.6,1.0,227
1.0,0.3,228
0.1,0.3,229
0.0,0.0,230
0.0,0.0,231
-0.2,0.6,232
-0.15555555555555559,0.2888888888888889,233
0.453125,0.8,234
0.0,1.0,235
1.0,1.0,236
0.0,0.0,237
0.0,0.1,238
0.5,0.5,239
0.1,1.0,240
0.0,0.0,241
0.0,0.0,242
-0.225,0.65,243
0.0,0.0,244
-0.2,0.3,245
0.75,0.5944444444444444,246
0.27499999999999997,0.5416666666666666,247
-0.2,0.3,248
0.75,0.5944444444444444,249
0.27499999999999997,0.5416666666666666,250
0.0,0.4,251
0.39999999999999997,1.0,252
-1.0,1.0,253
0.0,0.0,254
0.875,0.6000000000000001,255
0.0,0.0,256
0.0,0.0,257
0.0,0.0,258
0.0,0.0,259
-0.3499999999999999,0.36666666666666664,260
0.09375,0.675,261
0.0,0.0,262
1.0,0.3,263
0.0,0.0,264
0.0,0.0,265
0.0,0.0,266
0.2,0.95,267
0.5,0.18333333333333332,268
0.0,0.0,269
-0.5,1.0,270
0.6000000000000001,0.9,271
0.5,0.5,272
0.0,0.4,273
0.0,0.0,274
0.0,0.0,275
0.0,0.0,276
-0.23999999999999994,0.6333333333333333,277
0.0,0.0,278
0.2,0.1,279
0.1,0.1,280
0.5,0.5,281
0.25,0.5625,282
0.5,0.18333333333333332,283
0.0,0.0,284
-0.5,1.0,285
0.6000000000000001,0.9,286
0.5,0.5,287
0.0,0.4,288
0.0,0.0,289
0.0,0.0,290
0.0,0.0,291
-0.23999999999999994,0.6333333333333333,292
0.0,0.0,293
0.2,0.1,294
0.1,0.1,295
0.5,0.5,296
0.25,0.5625,297
-0.3499999999999999,0.3833333333333333,298
0.0,0.0,299
0.35,0.65,300
0.35,0.8,301
0.0,0.0,302
0.0,0.0,303
0.7,0.8,304
0.1,1.0,305
0.0,0.0,306
1.0,0.3,307
0.0,0.0,308
0.0,0.0,309
